Timestamp,Elapsed_Time(s),Hostname,PID,Process_Name,GPU_Index,GPU_Name,Inst_GFLOPS,Inst_GPU_Memory_Used(MB),Inst_%_GPU_Mem_Utilization,Inst_%_GPU_Utilization,Power_Usage(W),CPU_Usage_Percent,Memory_Usage_MB,Memory_Usage_Percent
2025-03-14 13:56:50,1.02,hsc-11,659262,python3,0,NVIDIA A100X,0.0,14166.0,18.23394775390625,0,90.618,0.0,499.4375,0.19
2025-03-14 13:56:52,2.53,hsc-11,659262,python3,0,NVIDIA A100X,0.0,14324.0,18.42681884765625,0,90.618,14.0,541.96484375,0.21
2025-03-14 13:56:53,4.04,hsc-11,659262,python3,0,NVIDIA A100X,38610.0,14452.0,18.58306884765625,99,277.231,99.9,542.3359375,0.21
2025-03-14 13:56:55,5.55,hsc-11,659262,python3,0,NVIDIA A100X,39000.0,14452.0,18.58306884765625,100,256.214,101.9,542.37890625,0.21
2025-03-14 13:56:56,7.06,hsc-11,659262,python3,0,NVIDIA A100X,39000.0,14452.0,18.58306884765625,100,269.912,99.9,542.38671875,0.21
2025-03-14 13:56:58,8.57,hsc-11,659262,python3,0,NVIDIA A100X,39000.0,14452.0,18.58306884765625,100,263.458,97.9,542.4375,0.21
2025-03-14 13:56:59,10.09,hsc-11,659262,python3,0,NVIDIA A100X,39000.0,14452.0,18.58306884765625,100,264.047,101.9,542.50390625,0.21
2025-03-14 13:57:01,11.6,hsc-11,659262,python3,0,NVIDIA A100X,39000.0,14452.0,18.58306884765625,100,268.268,99.9,542.50390625,0.21
2025-03-14 13:57:02,13.11,hsc-11,659262,python3,0,NVIDIA A100X,0.0,14452.0,18.58306884765625,0,93.797,0.0,542.50390625,0.21
2025-03-14 13:57:04,14.62,hsc-11,659262,python3,0,NVIDIA A100X,0.0,5792.0,8.03619384765625,0,92.798,16.0,542.50390625,0.21
